grant_title,id,organization,total_amount,group,start_year
LA NSC Match,2,Trustees of Dartmouth College,27727,medium,2009
Mathematics Assessment for Learning Phase One RFP,3,Denver School of Science and Technology Inc.,36018,medium,2009
Conference Support,5,New Schools for New Orleans,50000,medium,2009
Conference Support Grant on differentiated compensation symposium,6,Battelle For Kids,50000,medium,2009
Conference Support On School Turnaround Issues,7,FSG Social Impact Advisors,50000,medium,2009
City Based Proposal for What Works Fund - Aspire Public Schools,8,Aspire Public Schools,51500,medium,2009
Formative Assessment Task Development and Validation (Supplemental to OPP53449),9,Educational Policy Improvement Center,55752,medium,2009
City Based Proposal for What Works Fund - E3 Alliance,10,E3 Alliance,56245,medium,2009
Light touch communications grant for EET district partner (Hillsborough),11,"Hillsborough Education Foundation, Inc.",60000,medium,2009
Light touch communications grant for EET district partner (LA CMOs),12,The College-Ready Promise,60000,medium,2009
Light touch communications grant for EET district partner (Memphis),13,Memphis City Schools Foundation,60000,medium,2009
Light touch communications grant for EET district partners (Pittsburgh),14,Pittsburgh Public Schools,60000,medium,2009
City Based Proposal for What Works Fund - GHCF,15,Greater Houston Community Foundation,68500,medium,2009
City Based Proposal for What Works Fund - New Visions for Public Schools,16,"New Visions for Public Schools, Inc",70116,medium,2009
City Based Proposal for What Works Fund - Philadelphia Public Schools,17,School District of Philadelphia,74219,medium,2009
Mathematics Assessment for Learning Phase One RFP,18,Hamilton County Department of Education,74800,medium,2009
City Based Proposal for What Works Fund - Minneapolis Public Schools,20,Achieve Minneapolis,74963,medium,2009
City Based Proposal for What Works Fund - PTE,21,The College-Ready Promise,75000,medium,2009
TPERF Statewide Education Summit and Legislative Briefing,22,Texas Public Education Reform Foundation,75000,low,2008
City Based Proposal for What Works Fund - NYC Charter Center,23,New York City Center for Charter School Excellence,75300,medium,2009
City based proposal for What Works Fund - City of New Haven,25,City of New Haven,82500,medium,2009
"Achievement Gap Institute: Annual Research-to-Practice Conference, How Teachers Improve",26,President and Fellows of Harvard College,91300,medium,2009
National Education Forum,27,The Library of Congress,91350,low,2008
Community Engagement Supporting College and Career Readiness,28,Austin Voices for Education and Youth,93000,medium,2009
City based proposal for What Works Fund - New Schools for New Orleans,31,New Schools for New Orleans,100000,medium,2009
EEP Equality Day Rally Support,32,Education Equality Project,100000,medium,2009
Stimulus Tracker,33,Education Writers Association,100000,medium,2009
Secondary STEM Data and Standards Analysis,35,Texas Public Education Reform Foundation,140000,medium,2009
Mathematics Assessment for Learning Phase One RFP,36,Charlotte-Mecklenburg Schools,143973,medium,2009
Ethnic Commission Education Reform Project,37,Washington State Commission on African American Affairs,146025,medium,2009
Mathematics Assessment for Learning Phase One RFP,38,Cristo Rey Network,149733,medium,2009
California Collaborative on District Reform Phase 2,39,American Institutes for Research,150000,low,2008
Professional Educator Standards Board,40,Professional Educator Standards Board,150000,medium,2009
Evaluate the Leaky College Pipeline in New York City,41,Fund for Public Schools Inc.,170023,medium,2009
Advocacy for Sustained School Reform in the Nation's Capital,42,DC VOICE,200000,low,2008
DC Expansion and CA STEM partnership,43,Tiger Woods Foundation Inc.,200000,medium,2009
Retaining Teacher Talent: What Matters for Gen-Y Teachers,44,"Public Agenda Foundation, Inc.",215000,medium,2009
Supplemental Support for the New York STEM Progressive Dialogues (original grant on OPP52284),45,Rensselaer Polytechnic Institute,220654,medium,2009
Teacher Demographics and Pension Policies,46,National Commission on Teachings & America's Future,221755,medium,2009
High School Standards Review project,48,Illinois State Board of Education,225000,low,2008
