id,demo,group,response
1,All,All,No
2,All,All,No
3,All,All,No
4,All,All,No
5,All,All,No
6,All,All,No
7,All,All,No
8,All,All,No
9,All,All,No
10,All,All,No
11,All,All,No
12,All,All,No
13,All,All,No
14,All,All,No
15,All,All,No
16,All,All,No
17,All,All,No
18,All,All,No
19,All,All,No
20,All,All,No
21,All,All,No
22,All,All,No
23,All,All,No
24,All,All,No
25,All,All,No
26,All,All,No
27,All,All,No
28,All,All,No
29,All,All,No
30,All,All,No
31,All,All,No
32,All,All,No
33,All,All,Yes
34,All,All,Yes
35,All,All,Yes
36,All,All,Yes
37,All,All,Yes
38,All,All,Yes
39,All,All,Yes
40,All,All,Yes
41,All,All,Yes
42,All,All,Yes
43,All,All,Yes
44,All,All,Yes
45,All,All,Yes
46,All,All,Yes
47,All,All,Yes
48,All,All,Yes
49,All,All,Yes
50,All,All,Yes
51,All,All,Yes
52,All,All,Yes
53,All,All,Yes
54,All,All,Yes
55,All,All,Yes
56,All,All,Yes
57,All,All,Yes
58,All,All,Yes
59,All,All,Yes
60,All,All,Yes
61,All,All,Yes
62,All,All,Yes
63,All,All,Yes
64,All,All,Yes
65,All,All,Yes
66,All,All,Yes
67,All,All,Yes
68,All,All,Yes
69,All,All,Yes
70,All,All,Yes
71,All,All,Yes
72,All,All,Yes
73,All,All,Yes
74,All,All,Yes
75,All,All,Yes
76,All,All,Yes
77,All,All,Yes
78,All,All,Yes
79,All,All,Yes
80,All,All,Yes
81,All,All,Yes
82,All,All,Yes
83,All,All,Yes
84,All,All,Yes
85,All,All,Yes
86,All,All,Yes
87,All,All,Yes
88,All,All,Yes
89,All,All,Yes
90,All,All,Yes
91,All,All,Yes
92,All,All,Yes
93,All,All,Yes
94,All,All,Yes
95,All,All,Yes
96,All,All,Yes
97,All,All,Yes
98,All,All,Yes
99,All,All,Yes
100,All,All,Yes
101,Gender,Male,No
102,Gender,Male,No
103,Gender,Male,No
104,Gender,Male,No
105,Gender,Male,No
106,Gender,Male,No
107,Gender,Male,No
108,Gender,Male,No
109,Gender,Male,No
110,Gender,Male,No
111,Gender,Male,No
112,Gender,Male,No
113,Gender,Male,No
114,Gender,Male,No
115,Gender,Male,No
116,Gender,Male,No
117,Gender,Male,No
118,Gender,Male,No
119,Gender,Male,No
120,Gender,Male,No
121,Gender,Male,No
122,Gender,Male,No
123,Gender,Male,No
124,Gender,Male,No
125,Gender,Male,No
126,Gender,Male,No
127,Gender,Male,No
128,Gender,Male,No
129,Gender,Male,No
130,Gender,Male,Yes
131,Gender,Male,Yes
132,Gender,Male,Yes
133,Gender,Male,Yes
134,Gender,Male,Yes
135,Gender,Male,Yes
136,Gender,Male,Yes
137,Gender,Male,Yes
138,Gender,Male,Yes
139,Gender,Male,Yes
140,Gender,Male,Yes
141,Gender,Male,Yes
142,Gender,Male,Yes
143,Gender,Male,Yes
144,Gender,Male,Yes
145,Gender,Male,Yes
146,Gender,Male,Yes
147,Gender,Male,Yes
148,Gender,Male,Yes
149,Gender,Male,Yes
150,Gender,Male,Yes
151,Gender,Male,Yes
152,Gender,Male,Yes
153,Gender,Male,Yes
154,Gender,Male,Yes
155,Gender,Male,Yes
156,Gender,Male,Yes
157,Gender,Male,Yes
158,Gender,Male,Yes
159,Gender,Male,Yes
160,Gender,Male,Yes
161,Gender,Male,Yes
162,Gender,Male,Yes
163,Gender,Male,Yes
164,Gender,Male,Yes
165,Gender,Male,Yes
166,Gender,Male,Yes
167,Gender,Male,Yes
168,Gender,Male,Yes
169,Gender,Male,Yes
170,Gender,Male,Yes
171,Gender,Male,Yes
172,Gender,Male,Yes
173,Gender,Male,Yes
174,Gender,Male,Yes
175,Gender,Male,Yes
176,Gender,Male,Yes
177,Gender,Male,Yes
178,Gender,Male,Yes
179,Gender,Male,Yes
180,Gender,Male,Yes
181,Gender,Male,Yes
182,Gender,Male,Yes
183,Gender,Male,Yes
184,Gender,Male,Yes
185,Gender,Male,Yes
186,Gender,Male,Yes
187,Gender,Male,Yes
188,Gender,Male,Yes
189,Gender,Male,Yes
190,Gender,Male,Yes
191,Gender,Male,Yes
192,Gender,Male,Yes
193,Gender,Male,Yes
194,Gender,Male,Yes
195,Gender,Male,Yes
196,Gender,Male,Yes
197,Gender,Male,Yes
198,Gender,Male,Yes
199,Gender,Male,Yes
200,Gender,Male,Yes
201,Gender,Female,No
202,Gender,Female,No
203,Gender,Female,No
204,Gender,Female,No
205,Gender,Female,No
206,Gender,Female,No
207,Gender,Female,No
208,Gender,Female,No
209,Gender,Female,No
210,Gender,Female,No
211,Gender,Female,No
212,Gender,Female,No
213,Gender,Female,No
214,Gender,Female,No
215,Gender,Female,No
216,Gender,Female,No
217,Gender,Female,No
218,Gender,Female,No
219,Gender,Female,No
220,Gender,Female,No
221,Gender,Female,No
222,Gender,Female,No
223,Gender,Female,No
224,Gender,Female,No
225,Gender,Female,No
226,Gender,Female,No
227,Gender,Female,No
228,Gender,Female,No
229,Gender,Female,No
230,Gender,Female,No
231,Gender,Female,No
232,Gender,Female,No
233,Gender,Female,No
234,Gender,Female,No
235,Gender,Female,Yes
236,Gender,Female,Yes
237,Gender,Female,Yes
238,Gender,Female,Yes
239,Gender,Female,Yes
240,Gender,Female,Yes
241,Gender,Female,Yes
242,Gender,Female,Yes
243,Gender,Female,Yes
244,Gender,Female,Yes
245,Gender,Female,Yes
246,Gender,Female,Yes
247,Gender,Female,Yes
248,Gender,Female,Yes
249,Gender,Female,Yes
250,Gender,Female,Yes
251,Gender,Female,Yes
252,Gender,Female,Yes
253,Gender,Female,Yes
254,Gender,Female,Yes
255,Gender,Female,Yes
256,Gender,Female,Yes
257,Gender,Female,Yes
258,Gender,Female,Yes
259,Gender,Female,Yes
260,Gender,Female,Yes
261,Gender,Female,Yes
262,Gender,Female,Yes
263,Gender,Female,Yes
264,Gender,Female,Yes
265,Gender,Female,Yes
266,Gender,Female,Yes
267,Gender,Female,Yes
268,Gender,Female,Yes
269,Gender,Female,Yes
270,Gender,Female,Yes
271,Gender,Female,Yes
272,Gender,Female,Yes
273,Gender,Female,Yes
274,Gender,Female,Yes
275,Gender,Female,Yes
276,Gender,Female,Yes
277,Gender,Female,Yes
278,Gender,Female,Yes
279,Gender,Female,Yes
280,Gender,Female,Yes
281,Gender,Female,Yes
282,Gender,Female,Yes
283,Gender,Female,Yes
284,Gender,Female,Yes
285,Gender,Female,Yes
286,Gender,Female,Yes
287,Gender,Female,Yes
288,Gender,Female,Yes
289,Gender,Female,Yes
290,Gender,Female,Yes
291,Gender,Female,Yes
292,Gender,Female,Yes
293,Gender,Female,Yes
294,Gender,Female,Yes
295,Gender,Female,Yes
296,Gender,Female,Yes
297,Gender,Female,Yes
298,Gender,Female,Yes
299,Gender,Female,Yes
300,Gender,Female,Yes
